x,y,Bx,By,B_total,phi_deg
0,0,15.24,27.52,31.46,61.0
1,0,-52.00,40.89,66.15,141.8
2,0,37.53,21.82,43.41,30.2
3,0,47.03,-10.97,48.30,-13.1
4,0,-97.55,28.26,101.56,163.8
5,0,-65.10,8.56,65.66,172.5
6,0,6.40,-38.88,39.41,-80.7
7,0,-15.80,92.55,93.89,99.7
8,0,-0.83,-17.55,17.57,-92.7
9,0,-42.64,38.83,57.67,137.7
10,0,43.99,-120.88,128.64,-70.0
11,0,38.91,63.88,74.80,58.7
12,0,3.32,73.51,73.58,87.4
13,0,56.38,1.57,56.40,1.6
14,0,23.39,28.03,36.51,50.1
15,0,-42.95,28.03,51.28,146.9
16,0,18.45,-32.03,36.97,-60.1
17,0,-47.93,27.47,55.25,150.2
18,0,43.93,-40.31,59.62,-42.5
19,0,-2.49,-30.31,30.41,-94.7
20,0,-9.24,56.48,57.23,99.3
21,0,-34.05,48.86,59.56,124.9
22,0,61.12,-35.19,70.53,-29.9
23,0,-7.74,-36.56,37.37,-102.0
24,0,-21.43,-32.16,38.65,-123.7
25,0,-17.63,36.74,40.75,115.6
26,0,26.59,-49.91,56.55,-62.0
27,0,18.24,17.91,25.57,44.5
28,0,20.61,37.41,42.70,61.2
29,0,21.51,-4.37,21.95,-11.5
30,0,107.05,50.53,118.37,25.3
31,0,-20.36,-15.21,25.41,-143.2
32,0,-25.65,-10.70,27.79,-157.4
33,0,-40.72,-48.89,63.63,-129.8
34,0,30.77,50.81,59.40,58.8
35,0,56.42,-38.39,68.24,-34.2
36,0,-5.73,17.41,18.33,108.2
37,0,-42.03,-3.66,42.19,-175.0
38,0,-41.25,-52.74,66.96,-128.0
39,0,32.51,-30.57,44.63,-43.2
40,0,37.15,69.02,78.38,61.7
41,0,27.15,9.95,28.92,20.1
42,0,-33.28,-50.59,60.55,-123.3
43,0,11.61,15.14,19.08,52.5
44,0,5.84,-7.43,9.45,-51.8
45,0,10.95,172.58,172.93,86.4
46,0,43.59,14.14,45.82,18.0
47,0,11.20,-19.14,22.17,-59.7
48,0,33.96,70.90,78.62,64.4
49,0,3.40,-92.14,92.20,-87.9
50,0,14.48,4.64,15.20,17.8
51,0,31.58,99.65,104.54,72.4
52,0,-72.84,-5.87,73.08,-175.4
53,0,-15.97,-86.71,88.17,-100.4
54,0,-23.50,-19.84,30.76,-139.8
55,0,-31.93,72.69,79.40,113.7
56,0,-13.75,18.78,23.27,126.2
57,0,74.76,-41.96,85.73,-29.3
58,0,-43.28,-34.28,55.21,-141.6
59,0,48.42,-28.00,55.93,-30.0
60,0,-84.14,18.05,86.05,167.9
61,0,-16.74,66.90,68.97,104.0
62,0,8.14,52.62,53.24,81.2
63,0,29.31,22.80,37.13,37.9
0,1,35.57,-66.58,75.48,-61.9
1,1,39.67,-66.39,77.34,-59.1
2,1,-17.43,26.67,31.86,123.2
3,1,-23.11,-67.26,71.12,-109.0
4,1,42.91,-11.26,44.36,-14.7
5,1,-9.55,15.23,17.98,122.1
6,1,-63.77,-56.85,85.43,-138.3
7,1,-56.64,-51.17,76.33,-137.9
8,1,-45.95,-4.65,46.18,-174.2
9,1,24.88,25.25,35.45,45.4
10,1,7.15,53.16,53.64,82.3
11,1,34.56,30.45,46.06,41.4
12,1,-21.33,3.79,21.67,169.9
13,1,7.96,-37.18,38.02,-77.9
14,1,31.31,-53.40,61.90,-59.6
15,1,-15.44,-25.38,29.71,-121.3
16,1,22.87,20.67,30.83,42.1
17,1,-33.07,17.02,37.20,152.8
18,1,-18.13,-104.79,106.35,-99.8
19,1,-19.08,-39.08,43.48,-116.0
20,1,-59.79,60.44,85.01,134.7
21,1,24.34,4.17,24.70,9.7
22,1,-23.48,-70.64,74.44,-108.4
23,1,0.60,117.99,117.99,89.7
24,1,24.01,-1.26,24.04,-3.0
25,1,22.29,19.39,29.54,41.0
26,1,33.23,20.13,38.85,31.2
27,1,-4.97,-18.25,18.92,-105.2
28,1,-21.22,-36.28,42.03,-120.3
29,1,-4.04,106.16,106.24,92.2
30,1,-84.43,50.21,98.23,149.3
31,1,-72.42,41.11,83.27,150.4
32,1,-66.19,28.80,72.19,156.5
33,1,-49.92,-50.21,70.80,-134.8
34,1,19.93,63.80,66.84,72.7
35,1,-45.33,-42.26,61.97,-137.0
36,1,-18.96,14.04,23.59,143.5
37,1,64.92,-82.12,104.68,-51.7
38,1,-17.85,-102.21,103.76,-99.9
39,1,36.85,15.73,40.06,23.1
40,1,-46.70,-40.65,61.92,-139.0
41,1,-10.28,-99.67,100.20,-95.9
42,1,-47.51,26.82,54.55,150.6
43,1,-16.95,105.79,107.14,99.1
44,1,42.03,69.27,81.02,58.8
45,1,-86.35,-13.07,87.33,-171.4
46,1,21.74,0.25,21.75,0.7
47,1,11.91,44.21,45.79,74.9
48,1,-29.68,55.94,63.33,117.9
49,1,-72.27,-17.32,74.32,-166.5
50,1,3.64,1.58,3.97,23.5
51,1,-26.44,14.92,30.36,150.6
52,1,11.66,27.60,29.96,67.1
53,1,1.12,-6.73,6.83,-80.5
54,1,80.11,-6.07,80.34,-4.3
55,1,-11.94,68.94,69.96,99.8
56,1,-51.16,60.43,79.18,130.2
57,1,8.98,23.84,25.47,69.4
58,1,11.01,85.93,86.63,82.7
59,1,67.97,-19.34,70.67,-15.9
60,1,41.76,81.13,91.25,62.8
61,1,17.85,27.11,32.46,56.6
62,1,73.17,163.54,179.17,65.9
63,1,-59.43,-59.63,84.19,-134.9
0,2,-31.98,-34.46,47.01,-132.9
1,2,-46.32,20.95,50.84,155.7
2,2,-19.48,19.88,27.83,134.4
3,2,-68.82,97.53,119.37,125.2
4,2,31.78,-33.39,46.09,-46.4
5,2,-11.09,45.29,46.63,103.8
6,2,-73.51,58.18,93.75,141.6
7,2,-50.75,35.30,61.82,145.2
8,2,15.71,-47.96,50.47,-71.9
9,2,41.95,70.49,82.03,59.2
10,2,99.88,61.60,117.35,31.7
11,2,145.74,30.13,148.83,11.7
12,2,20.77,10.40,23.23,26.6
13,2,-49.42,11.51,50.75,166.9
14,2,-106.55,-3.70,106.61,-178.0
15,2,13.44,32.30,34.98,67.4
16,2,-40.60,1.84,40.64,177.4
17,2,-20.73,-42.12,46.95,-116.2
18,2,-30.57,-52.11,60.42,-120.4
19,2,-7.02,-37.27,37.92,-100.7
20,2,53.31,11.45,54.52,12.1
21,2,7.85,-1.01,7.91,-7.3
22,2,-7.95,11.10,13.65,125.6
23,2,-51.82,25.36,57.69,153.9
24,2,-83.78,-31.07,89.36,-159.7
25,2,-24.37,73.56,77.49,108.3
26,2,-2.76,-13.14,13.43,-101.9
27,2,88.32,-21.47,90.89,-13.7
28,2,6.43,24.28,25.12,75.2
29,2,49.04,-91.71,104.00,-61.9
30,2,-25.06,-39.45,46.74,-122.4
31,2,-59.35,49.08,77.01,140.4
32,2,-48.35,-86.90,99.44,-119.1
33,2,-36.36,55.81,66.61,123.1
34,2,106.33,75.44,130.37,35.4
35,2,-41.16,-18.64,45.18,-155.6
36,2,41.85,14.39,44.25,19.0
37,2,-45.22,55.71,71.75,129.1
38,2,46.52,-23.61,52.17,-26.9
39,2,19.20,43.09,47.17,66.0
40,2,-7.87,-33.88,34.78,-103.1
41,2,-2.06,-24.21,24.30,-94.9
42,2,-32.75,-40.31,51.93,-129.1
43,2,22.31,16.79,27.92,37.0
44,2,-22.73,57.57,61.89,111.5
45,2,-61.25,-9.53,61.99,-171.2
46,2,-63.86,-63.87,90.31,-135.0
47,2,8.68,-54.42,55.11,-80.9
48,2,79.01,19.47,81.37,13.8
49,2,8.05,91.97,92.33,85.0
50,2,-5.88,19.48,20.35,106.8
51,2,14.34,-19.52,24.23,-53.7
52,2,65.35,38.16,75.67,30.3
53,2,11.02,-12.10,16.37,-47.7
54,2,-20.50,-19.02,27.97,-137.1
55,2,55.35,-48.01,73.27,-40.9
56,2,21.47,70.35,73.56,73.0
57,2,76.82,-127.02,148.44,-58.8
58,2,9.18,39.85,40.89,77.0
59,2,-61.20,-23.22,65.46,-159.2
60,2,-68.39,-20.54,71.41,-163.3
61,2,82.56,84.60,118.21,45.7
62,2,86.19,-35.72,93.30,-22.5
63,2,-8.97,-34.01,35.18,-104.8
0,3,-19.15,-6.50,20.22,-161.2
1,3,73.09,20.71,75.96,15.8
2,3,-55.33,-22.06,59.57,-158.3
3,3,-44.71,-78.65,90.48,-119.6
4,3,32.20,-43.23,53.91,-53.3
5,3,-19.69,64.13,67.09,107.1
6,3,-0.21,3.83,3.83,93.2
7,3,-8.12,22.66,24.07,109.7
8,3,16.94,-12.93,21.31,-37.4
9,3,70.44,-32.81,77.71,-25.0
10,3,4.61,84.08,84.21,86.9
11,3,32.28,-9.17,33.56,-15.9
12,3,-102.42,-21.89,104.73,-167.9
13,3,-2.35,55.13,55.18,92.4
14,3,-42.07,-35.75,55.21,-139.6
15,3,-60.86,-29.33,67.56,-154.3
16,3,-43.83,0.96,43.84,178.7
17,3,-16.64,0.49,16.65,178.3
18,3,45.84,13.49,47.79,16.4
19,3,-66.29,105.11,124.26,122.2
20,3,1.54,17.35,17.42,84.9
21,3,-24.22,-118.37,120.82,-101.6
22,3,-16.42,16.84,23.52,134.3
23,3,50.08,2.40,50.14,2.7
24,3,26.83,2.64,26.96,5.6
25,3,66.77,12.73,67.98,10.8
26,3,-7.84,-1.05,7.91,-172.3
27,3,-34.93,-2.31,35.00,-176.2
28,3,-11.33,30.91,32.92,110.1
29,3,11.97,-26.92,29.46,-66.0
30,3,8.67,-47.27,48.06,-79.6
31,3,-54.38,151.23,160.71,109.8
32,3,4.36,-35.83,36.10,-83.1
33,3,11.25,4.89,12.27,23.5
34,3,125.72,-74.97,146.38,-30.8
35,3,93.70,5.57,93.87,3.4
36,3,-42.79,-46.98,63.55,-132.3
37,3,-14.48,-22.50,26.76,-122.8
38,3,-73.27,51.82,89.74,144.7
39,3,-29.61,23.13,37.57,142.0
40,3,15.73,27.92,32.04,60.6
41,3,60.26,-89.08,107.55,-55.9
42,3,-36.46,91.31,98.32,111.8
43,3,-32.70,-60.13,68.44,-118.5
44,3,-107.33,75.90,131.46,144.7
45,3,-8.08,50.57,51.21,99.1
46,3,-53.06,28.39,60.17,151.9
47,3,-26.40,-43.19,50.62,-121.4
48,3,-43.76,7.17,44.34,170.7
49,3,-4.63,-23.91,24.35,-100.9
50,3,-87.80,1.13,87.80,179.3
51,3,-73.27,-12.77,74.37,-170.1
52,3,106.55,-102.17,147.62,-43.8
53,3,-64.29,55.89,85.19,139.0
54,3,-54.77,-4.22,54.93,-175.6
55,3,91.91,-24.38,95.08,-14.9
56,3,145.31,-28.13,148.00,-11.0
57,3,-58.53,17.84,61.19,163.1
58,3,-18.38,-44.75,48.38,-112.3
59,3,17.11,-112.81,114.10,-81.4
60,3,86.46,20.32,88.81,13.2
61,3,-49.32,25.93,55.72,152.3
62,3,-12.25,-10.00,15.81,-140.8
63,3,38.88,-57.41,69.34,-55.9
0,4,21.76,4.47,22.21,11.6
1,4,-18.79,-73.19,75.57,-104.4
2,4,-6.66,-51.32,51.75,-97.4
3,4,-68.71,-37.48,78.26,-151.4
4,4,-11.86,42.28,43.91,105.7
5,4,-13.26,-18.03,22.38,-126.3
6,4,11.68,-22.26,25.14,-62.3
7,4,-27.68,97.90,101.74,105.8
8,4,23.67,17.83,29.64,37.0
9,4,50.75,17.21,53.58,18.7
10,4,7.89,-18.17,19.81,-66.5
11,4,17.72,-29.45,34.37,-59.0
12,4,2.80,-108.89,108.92,-88.5
13,4,0.15,48.94,48.94,89.8
14,4,-35.94,22.98,42.66,147.4
15,4,15.96,-8.33,18.00,-27.6
16,4,-4.74,-6.17,7.79,-127.5
17,4,104.76,37.55,111.29,19.7
18,4,78.75,-76.95,110.10,-44.3
19,4,19.34,-28.68,34.59,-56.0
20,4,-38.14,-55.99,67.74,-124.3
21,4,-55.64,89.40,105.30,121.9
22,4,59.50,44.59,74.36,36.8
23,4,13.05,-109.36,110.13,-83.2
24,4,23.88,-74.96,78.67,-72.3
25,4,-87.38,-5.95,87.59,-176.1
26,4,46.19,-23.03,51.61,-26.5
27,4,22.51,-65.72,69.47,-71.1
28,4,-55.75,97.64,112.43,119.7
29,4,-23.82,15.92,28.65,146.2
30,4,12.94,23.92,27.19,61.6
31,4,2.37,-34.54,34.62,-86.1
32,4,-14.86,36.05,39.00,112.4
33,4,-5.42,-19.20,19.95,-105.8
34,4,-12.84,-14.46,19.34,-131.6
35,4,7.40,30.15,31.05,76.2
36,4,73.37,-81.95,109.99,-48.2
37,4,-128.52,79.26,150.99,148.3
38,4,-12.00,8.45,14.68,144.8
39,4,8.70,63.32,63.91,82.2
40,4,14.71,-54.55,56.50,-74.9
41,4,-18.65,-46.97,50.54,-111.7
42,4,-87.85,-58.92,105.78,-146.2
43,4,16.42,11.69,20.15,35.4
44,4,86.42,2.49,86.45,1.6
45,4,-76.61,-24.00,80.29,-162.6
46,4,43.29,-51.44,67.24,-49.9
47,4,-16.31,-64.02,66.06,-104.3
48,4,-2.93,-3.05,4.23,-133.9
49,4,-52.50,-23.84,57.67,-155.6
50,4,-16.58,-34.78,38.53,-115.5
51,4,65.14,76.92,100.80,49.7
52,4,29.27,-4.49,29.61,-8.7
53,4,86.74,63.19,107.31,36.1
54,4,58.98,-26.92,64.83,-24.5
55,4,22.05,12.03,25.12,28.6
56,4,87.28,-2.94,87.33,-1.9
57,4,22.02,-85.01,87.82,-75.5
58,4,41.46,71.31,82.49,59.8
59,4,-14.78,-6.84,16.29,-155.2
60,4,3.37,37.26,37.41,84.8
61,4,-34.84,-37.65,51.29,-132.8
62,4,49.50,-8.27,50.19,-9.5
63,4,-58.90,-43.37,73.14,-143.6
0,5,39.14,61.83,73.18,57.7
